,BoxOffice,Irank,MovieName,boxPer,movieDay,sumBoxOffice,time
0,4786.18,1,功夫瑜伽,31.80,11,135219.09,2017-02-07 20:28:47
1,3506.35,2,乘风破浪,23.30,11,71538.25,2017-02-07 20:28:47
2,3125.24,3,西游伏妖篇,20.77,11,148806.37,2017-02-07 20:28:47
3,1272.83,4,熊出没·奇幻空间,8.46,11,41762.66,2017-02-07 20:28:47
4,1214.29,5,大闹天竺,8.07,11,70229.63,2017-02-07 20:28:47
5,676.90,6,东北往事之破马张飞,4.50,5,7317.98,2017-02-07 20:28:47
6,230.20,7,了不起的菲丽西,1.53,7,2646.71,2017-02-07 20:28:47
7,100.62,8,萤火奇兵,0.67,3,517.67,2017-02-07 20:28:47
8,31.21,9,健忘村,0.21,12,1534.39,2017-02-07 20:28:47
9,30.08,10,降临,0.20,19,10704.19,2017-02-07 20:28:47
10,76.11,11,其它,1.00,0,0.00,2017-02-07 20:28:47
